TradingDate,QTP,DCM,DPM,ACB,VCB,BID,MBB,STB
2022-10-04,14300.0,29500.0,37653.0,17541.0,71300.0,31000.0,18800.0,18750.0
2022-10-05,14200.0,31100.0,39331.0,17374.0,71500.0,31800.0,19200.0,19250.0
2022-10-06,14000.0,30100.0,38742.0,16706.0,70100.0,31000.0,18100.0,18000.0
2022-10-07,13300.0,28000.0,37199.0,15578.0,66700.0,29200.0,16950.0,16750.0
2022-10-10,13200.0,29950.0,39785.0,15620.0,65100.0,30000.0,17250.0,17000.0
2022-10-11,13100.0,29500.0,39468.0,14618.0,62000.0,28500.0,16050.0,15850.0
2022-10-12,13100.0,31550.0,42189.0,15620.0,64000.0,30450.0,17150.0,16950.0
2022-10-13,12900.0,31550.0,42280.0,16664.0,66500.0,32450.0,17400.0,17650.0
2022-10-14,12900.0,32250.0,43097.0,17416.0,68100.0,33000.0,17800.0,17650.0
2022-10-17,13300.0,33150.0,44458.0,17500.0,66300.0,32700.0,17500.0,18150.0
2022-10-18,13600.0,32400.0,43686.0,17875.0,67700.0,32800.0,17550.0,17700.0
2022-10-19,13700.0,32500.0,43550.0,17625.0,67900.0,33000.0,17500.0,17300.0
2022-10-20,13600.0,31950.0,42643.0,17834.0,69200.0,33150.0,17150.0,17150.0
2022-10-21,13300.0,29850.0,39830.0,17040.0,68000.0,32600.0,16100.0,15950.0
2022-10-24,13100.0,29900.0,38107.0,16288.0,68000.0,30350.0,15600.0,14850.0
2022-10-25,13100.0,31950.0,40738.0,17040.0,69900.0,31300.0,16400.0,14900.0
2022-10-26,13100.0,31750.0,40375.0,17249.0,70000.0,31700.0,16400.0,15000.0
2022-10-27,13500.0,32950.0,41736.0,18418.0,71700.0,33900.0,17500.0,16050.0
2022-10-28,13700.0,32050.0,40375.0,18627.0,71600.0,33800.0,17650.0,16150.0
2022-10-31,13400.0,33000.0,39286.0,18711.0,73500.0,34550.0,17700.0,16150.0
2022-11-01,13500.0,32300.0,39604.0,18752.0,75000.0,34050.0,18000.0,16900.0
2022-11-02,13400.0,30050.0,37426.0,18210.0,73600.0,33700.0,17900.0,16900.0
2022-11-03,13200.0,30650.0,38107.0,17834.0,73000.0,33000.0,17650.0,17250.0
2022-11-04,12900.0,29200.0,37109.0,16831.0,71800.0,33300.0,17900.0,16600.0
2022-11-07,12700.0,29000.0,37109.0,17249.0,71800.0,33300.0,16950.0,15500.0
2022-11-08,12500.0,29100.0,37789.0,17792.0,72600.0,34900.0,17200.0,16450.0
